Tipo de transporte: Nivel 1;Tipo de transporte: Nivel 2;Tipo de transporte: Nivel 3;Tipo de transporte: Nivel 4;Tipo de transporte: Nivel 5;Viajeros y tasas;Periodo;Total
Total de viajeros;Transporte especial y discrecional;;;;Viajeros transportados;2021M02;31.097
Total de viajeros;Transporte especial y discrecional;;;;Viajeros transportados;2021M01;26.663
Total de viajeros;Transporte especial y discrecional;;;;Viajeros transportados;2020M12;25.670
Total de viajeros;Transporte especial y discrecional;;;;Viajeros transportados;2020M11;34.217
Total de viajeros;Transporte especial y discrecional;;;;Viajeros transportados;2020M10;34.274
Total de viajeros;Transporte especial y discrecional;;;;Viajeros transportados;2020M09;26.099
Total de viajeros;Transporte especial y discrecional;;;;Viajeros transportados;2020M08;6.311
Total de viajeros;Transporte especial y discrecional;;;;Viajeros transportados;2020M07;8.341
Total de viajeros;Transporte especial y discrecional;;;;Viajeros transportados;2020M06;5.921
Total de viajeros;Transporte especial y discrecional;;;;Viajeros transportados;2020M05;4.459
Total de viajeros;Transporte especial y discrecional;;;;Viajeros transportados;2020M04;4.444
Total de viajeros;Transporte especial y discrecional;;;;Viajeros transportados;2020M03;24.437
Total de viajeros;Transporte especial y discrecional;;;;Viajeros transportados;2020M02;44.595
Total de viajeros;Transporte especial y discrecional;;;;Viajeros transportados;2020M01;42.341
Total de viajeros;Transporte especial y discrecional;;;;Viajeros transportados;2019M12;36.844
Total de viajeros;Transporte especial y discrecional;;;;Viajeros transportados;2019M11;47.570
Total de viajeros;Transporte especial y discrecional;;;;Viajeros transportados;2019M10;55.406
Total de viajeros;Transporte especial y discrecional;;;;Viajeros transportados;2019M09;44.452
Total de viajeros;Transporte especial y discrecional;;;;Viajeros transportados;2019M08;23.398
Total de viajeros;Transporte especial y discrecional;;;;Viajeros transportados;2019M07;29.432
Total de viajeros;Transporte especial y discrecional;;;;Viajeros transportados;2019M06;50.522
Total de viajeros;Transporte especial y discrecional;;;;Viajeros transportados;2019M05;58.049
Total de viajeros;Transporte especial y discrecional;;;;Viajeros transportados;2019M04;47.359
Total de viajeros;Transporte especial y discrecional;;;;Viajeros transportados;2019M03;48.986
Total de viajeros;Transporte especial y discrecional;;;;Viajeros transportados;2019M02;44.668
Total de viajeros;Transporte especial y discrecional;;;;Viajeros transportados;2019M01;43.498
Total de viajeros;Transporte especial y discrecional;;;;Viajeros transportados;2018M12;36.284
Total de viajeros;Transporte especial y discrecional;;;;Viajeros transportados;2018M11;48.378
Total de viajeros;Transporte especial y discrecional;;;;Viajeros transportados;2018M10;54.212
Total de viajeros;Transporte especial y discrecional;;;;Viajeros transportados;2018M09;43.712
Total de viajeros;Transporte especial y discrecional;;;;Viajeros transportados;2018M08;22.392
Total de viajeros;Transporte especial y discrecional;;;;Viajeros transportados;2018M07;28.270
Total de viajeros;Transporte especial y discrecional;;;;Viajeros transportados;2018M06;50.815
Total de viajeros;Transporte especial y discrecional;;;;Viajeros transportados;2018M05;56.523
Total de viajeros;Transporte especial y discrecional;;;;Viajeros transportados;2018M04;49.795
Total de viajeros;Transporte especial y discrecional;;;;Viajeros transportados;2018M03;47.372
Total de viajeros;Transporte especial y discrecional;;;;Viajeros transportados;2018M02;42.787
Total de viajeros;Transporte especial y discrecional;;;;Viajeros transportados;2018M01;40.801
Total de viajeros;Transporte especial y discrecional;;;;Viajeros transportados;2017M12;34.163
Total de viajeros;Transporte especial y discrecional;;;;Viajeros transportados;2017M11;47.751
Total de viajeros;Transporte especial y discrecional;;;;Viajeros transportados;2017M10;50.504
Total de viajeros;Transporte especial y discrecional;;;;Viajeros transportados;2017M09;42.730
Total de viajeros;Transporte especial y discrecional;;;;Viajeros transportados;2017M08;20.675
Total de viajeros;Transporte especial y discrecional;;;;Viajeros transportados;2017M07;26.132
Total de viajeros;Transporte especial y discrecional;;;;Viajeros transportados;2017M06;48.689
Total de viajeros;Transporte especial y discrecional;;;;Viajeros transportados;2017M05;55.132
Total de viajeros;Transporte especial y discrecional;;;;Viajeros transportados;2017M04;41.893
Total de viajeros;Transporte especial y discrecional;;;;Viajeros transportados;2017M03;51.140
Total de viajeros;Transporte especial y discrecional;;;;Viajeros transportados;2017M02;42.555
Total de viajeros;Transporte especial y discrecional;;;;Viajeros transportados;2017M01;38.256
